Name,Age,Degree,CGPA,Domain,Time Spent,Revisit Frequency
Kavya Patel,19,Other,9.09,Cloud Computing,1 hour,Daily
Kabir Choudhary,22,IT,8.56,Cloud Computing,4 hours,Weekly
Aditi Patel,19,CSE,6.79,Data Science,3 hours,Daily
Siddharth Jain,21,IT,7.54,Data Science,5 hours,Daily
Rahul Chopra,18,IT,5.46,Web Development,1 hour,Daily
Saanvi Mishra,21,CSE,9.84,Data Science,5 hours,Daily
Neha Bhatia,20,IOT,5.83,Web Development,5 hours,Daily
Ishita Reddy,22,CSE,5.03,Cloud Computing,3 hours,Weekly
Aditya Bose,19,IT,6.68,Data Science,3 hours,Daily
Harsh Mishra,19,CSE,7.34,Cloud Computing,1 hour,Weekly
Pooja Verma,22,IOT,8.79,Data Science,1 hour,Weekly
Kabir Jain,18,Other,7.59,Web Development,2 hours,Daily
Riya Nair,20,IT,5.56,Cloud Computing,5 hours,Weekly
Harsh Jain,19,CSE,8.63,Data Science,5 hours,Daily
Ishita Bose,22,IT,8,Data Science,4 hours,Daily
Sakshi Chopra,19,Other,7.97,Cloud Computing,4 hours,Daily
Sakshi Trivedi,21,CSE,6.73,Data Science,1 hour,Daily
Ananya Reddy,18,IT,5.32,Web Development,4 hours,Daily
Saanvi Jain,22,Other,5.37,Web Development,3 hours,Daily
Krishna Kulkarni,22,CSE,8.9,Data Science,1 hour,Daily
Rahul Mishra,19,IOT,6.82,Web Development,2 hours,Weekly
Vivaan Reddy,19,IT,9.61,Cloud Computing,1 hour,Daily
Aditi Nair,20,CSE,9.93,Web Development,3 hours,Daily
Harsh Iyer,22,CSE,8.65,Web Development,3 hours,Weekly
Vivaan Gupta,19,IOT,9.98,Web Development,4 hours,Weekly
Aditya Nair,20,CSE,7.46,Data Science,3 hours,Weekly
Vivaan Choudhary,19,CSE,5.77,Data Science,5 hours,Daily
Neha Patel,22,IT,8.27,Web Development,5 hours,Weekly
Kavya Bhatia,20,Other,9.32,Data Science,1 hour,Daily
Aditya Patel,22,IOT,6.28,Web Development,5 hours,Daily
Ishita Das,18,IOT,7.26,Web Development,3 hours,Daily
Arjun Joshi,18,CSE,6.34,Cloud Computing,3 hours,Daily
Arjun Sharma,21,CSE,7.95,Data Science,2 hours,Weekly
Siddharth Kulkarni,22,Other,9.56,Web Development,2 hours,Daily
Aarav Jain,19,IOT,9.93,Cloud Computing,4 hours,Daily
Atharv Trivedi,22,IT,6.23,Web Development,2 hours,Daily
Shaurya Chopra,21,IOT,6.4,Web Development,3 hours,Weekly
Kabir Gupta,19,CSE,6.93,Data Science,3 hours,Daily
Meera Choudhary,18,IOT,7.98,Cloud Computing,3 hours,Weekly
Riya Bose,22,IT,8.14,Data Science,5 hours,Weekly
Manisha Choudhary,21,IT,9.56,Cloud Computing,3 hours,Weekly
Siddharth Verma,21,Other,9.22,Data Science,1 hour,Daily
Manisha Bhatia,19,IT,5.05,Cloud Computing,4 hours,Weekly
Vihaan Nair,19,IT,8.34,Web Development,1 hour,Weekly
Vivaan Agarwal,19,Other,9.66,Cloud Computing,1 hour,Daily
Aarav Mehta,18,IOT,5.03,Cloud Computing,2 hours,Daily
